"skill","tags"
"CorelDRAW (Corel Software)","Graphic Design,Vector Graphics,Software"
"CouchDB","Back-end Web Development,Database,NoSQL,Data modeling"
"Mercurial","Version Control System,Toolings"
"Redmine","Project Management,Toolings"
"Distributed Systems","System Design,Networking,Scalability,Performance tuning"
"Sendgrid","Email Marketing,API,Toolings"
"WebStorm","JavaScript,IDE,Toolings"
"Virtualization Technology","System Administration,Networking,Security,Performance tuning"
"Electrical Rule Check","Electronics,Circuit Design,Verification"
"Scalability","System Design,Performance Tuning,Back-end Web Development"
"Delivery of Projects","Project Management,Time Management,Leadership"
"Budgeting Skills","Finance,Project Management,Strategic Planning"
"Iframes","HTML,Front-end Web Development,Web Design"
"Certified Information Systems Security Professional","Cybersecurity,Certification"
"Embedded Computers","Hardware,Computer Engineering,Embedded Systems"
"IBM Watson","Artificial Intelligence,Machine Learning,Natural Language Processing,Cloud Computing,Analytics"
"Jetty","Java,Server,Web Development,Back-end Web Development"
"Microsoft Visual SourceSafe","Version Control,Microsoft,Toolings"
"Contentful","Content Management System,Back-end Web Development,API"
"Sanity.io","Content Management System,Back-end Web Development,API"
"Webhooks","API,Back-end Web Development,Real-time Data"
"Digital Marketing","Marketing,SEO,Social Media,Content Creation,Analytics"
"Windows Forms",".NET,C#,GUI,Desktop Application Development"
"Apache Camel","Integration,Java,Middleware,Routing,Back-end Web Development"
"AWS Fargate","Cloud Computing,Serverless Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Extensible Stylesheet Language (XSL)","Programming Language,Front-end Web Development,XML"
"Glassfish Application Servers","Java,Back-end Web Development,Server,Middleware"
"Universal Description Discovery and Integration","Web Services,SOA,XML,Middleware"
"Pascal (Programming Language)","Programming Language"
"Newrelic","Performance monitoring,Toolings,DevOps"
"Product Management","Project management,Strategy,Planning,Marketing,Leadership"
".NET Framework 4","Back-end Web Development,Framework,Library,Microsoft"
"SQL Server Management Studio (SSMS)","Back-end Web Development,Database,SQL,Relational Database,Data modeling,Performance tuning,Microsoft"
"Windows Servers","Server Management,Microsoft,Network,Security"
"Customer Relationship Management","Business,Management,Customer Service"
"Capistrano","Deployment,Toolings,Ruby"
"CoffeeScript","Programming Language,JavaScript"
"Continuous Delivery","DevOps,Software Development,Deployment"
"Microarchitecture","Computer Architecture,Hardware,Design"
"A/B Testing","Data Analysis,Marketing,User Experience"
"Adobe Analytics","Data Analysis,Marketing,Web Analytics"
"Building Codes","Civil Engineering,Construction,Regulations,Safety Standards"
"Reliability","Quality Assurance,System Design,Performance Monitoring"
"Spock","Testing,Java,Groovy,Framework"
"Istio","Service Mesh,Microservices,Cloud Computing,Network,Security"
"Quartz (Graphics Layer)","Graphics,User Interface,Apple,macOS,iOS"
"Symphony","Framework,PHP,Back-end Web Development"
"Administrative Operations","Management,Operations,Administration"
"Hadoop Distributed File System","Big Data,Data Storage,Distributed Systems,Data Management"
"Jupyter","Data Science,Python,Data Analysis,Machine Learning,Toolings"
"Lex (Software)","Natural Language Processing,AI,Machine Learning,AWS,Chatbot"
"SciPy","Python,Data Analysis,Scientific Computing,Library"
"Xgboost","Machine Learning,Library,Data Analysis"
"Liquibase","Database,Database Change Management,Toolings"
"Payment Gateway","E-commerce,Financial Services,API,Security"
"Banking Services","Financial Services,Banking,Compliance,Security"
"Cisco","Networking,Hardware,Security,Telecommunications"
"Influxdb","Database,Time Series Database,Data modeling,Performance tuning"
"Query Performance","Database,Performance tuning,SQL"
"Apache Lucene","Search Engine,Java,Library"
"Aws Command Line Interface (CLI)","Cloud Computing,Serverless Computing,Infrastructure,Toolings,API,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"SQL Server Management Studio","Database,SQL,Data modeling,Performance tuning,Toolings"
"Stripe","Payment Gateway,API,Back-end Web Development,E-commerce"
"Web Application Security","Security,Web Development,Back-end Web Development,Front-end Web Development"
"Burn Down Chart","Project management,Agile,Scrum"
"Cisco Unified Communications Manager","Network,Communications,Infrastructure,Toolings"
"OTRS","Customer Service,Ticketing System,Help Desk Software"
"Productivity Software","Software,Office Applications,Time Management"
"Gantt Charts","Project Management,Planning,Scheduling"
"Forecasting Skills","Data Analysis,Predictive Modeling,Statistics"
"Compilers","Programming,Software Development,Code Optimization"
"Kernel Debuggers","Debugging,Kernel,Software Development"
"Nvidia CUDA","Parallel Computing,GPU,Programming Language,Software Development"
"OpenMP","Parallel Computing,API,Programming Language,Software Development"
"Spacy","Natural Language Processing,Python,Machine Learning,Library"
"User-Centered Design","Design,UX/UI,Product Development"
"Customer Communications Management","Communication,Customer Service,Management"
"Telephone Skills","Communication,Customer Service"
"Software Library","Programming,Software Development"
"Network Security","IT,Cybersecurity,Network"
"Cadence Virtuoso","Electronic Design Automation,Circuit Design,Software"
"Teaching","Education,Communication,Presentation"
"Webflow","Web Design,Front-end Web Development,CMS"
"Uikit","Front-end Web Development,CSS,JavaScript,Framework,Library"
"Perforce","Version Control System,Toolings"
"Neo4j","Back-end Web Development,Database,Graph Database,Data modeling,Performance tuning"
"Creating Prototypes","Design,User Experience,Product Development"
"CentOS","Operating System,Linux,System Administration"
"PHP Development","Programming Language,Back-end Web Development"
"PHP Frameworks","Programming Language,Back-end Web Development,Framework"
"Presentations","Communication,Public Speaking,Business"
"Brand Management","Marketing,Strategy,Business"
"Audience Measurement","Analytics,Marketing,Data Analysis"
"Customer Experience","Marketing,Customer Service,Strategy"
"Pair Programming","Software Development,Teamwork,Agile Methodology"
"Software Architecture","Software Development,System Design,Planning"
"Database Tools and Utilities","Database,Toolings"
"Dialectical Behavior Therapy","Therapy,Psychology,Mental Health"
"Visual Effects","Graphics,Animation,Film Production"
"Ios Frameworks","iOS,Mobile Development,Framework,Library"
"Lean Processes","Business Strategy,Process Optimization,Management"
"Performance Management","Business,Management,Strategy,Operations"
"Markup Languages","Programming Language,Web Development"
"Queueing Systems","Data Structures,Algorithms,Computer Science"
"BigTable","Database,NoSQL,Google Cloud,Data modeling,Performance tuning"
"Google App Engines","Cloud Computing,Serverless Computing,Google Cloud,Back-end Web Development,DevOps,Performance monitoring,Security,Network,Analytics"
"Zendesk","Customer Service,Ticketing System,CRM,Project Management"
"Anaconda","Python,Data Science,Machine Learning,Data Analysis,Toolings"
"Elastic Beanstalk","Cloud Computing,AWS,DevOps,Infrastructure,Serverless Computing,Back-end Web Development"
"Regular Expressions","Programming Language,Pattern Matching,Data Processing"
"Knowledge of Mathematics","Mathematics,Problem Solving,Logical Thinking,Data Analysis"
"Economy","Business,Finance,Macro-economics,Micro-economics"
"Cloudflare","CDN,Security,DNS,Web Performance,DDoS Protection"
"Rancher","Container Management,DevOps,Kubernetes,Docker,Orchestration"
"Sourcetree","Version Control,Git,Project Management,Toolings"
"Boomi","Integration,Cloud Computing,API Management,Data Integration,iPaaS"
"Technology Integration","IT,Project Management,System Design,System Implementation"
"Elk Stack","Data Analysis,Log Management,Monitoring,Back-end Web Development,DevOps"
"3d Models","3D Design,Graphic Design,Animation,CAD"
"Quantum GIS (QGIS)","Data Analysis,Geospatial Analysis,Mapping,Open Source Software"
"Blenders","3D Design,Animation,Graphic Design,Open Source Software"
"M Programming Language","Programming Language"
"Katalon Studio","Test Automation,Software Testing,Toolings"
"Access Controls","Security,Network,IT Infrastructure"
"Medical Records","Healthcare,Data Management,Database"
"Business Logic","Software Development,Back-end Web Development,Business Analysis"
"Tokenization","Natural Language Processing,Machine Learning,Data Science,Text Analysis"
"Reliability Engineering","Engineering,System Design,Performance monitoring,Security"
"Strategic Alliances","Business Strategy,Partnership Management,Business Development"
"Continuous Training","Employee Development,Learning and Development,Human Resources"
"Emotional Intelligence","Soft Skills,Leadership,People Management,Communication Skills"
"Mustache","JavaScript,Front-end Web Development,Template Engine"
"Perl (Programming Language)","Programming Language"
"Protocol Buffers","Data Structure,Serialization,Interface Definition Language"
"Qt Modeling Language (QML)","Programming Language,User Interface Design,JavaScript,CSS,JSON"
"DocuSign","Electronic Signature,Document Management,API,Security"
"Cloud Computing Security","Cloud Computing,Security,Network,Compliance,Encryption,Data Protection"
"Microsoft Teams","Communication,Collaboration,Project management,Toolings"
"Bitcoin","Cryptocurrency,Blockchain,Financial Technology,Security"
"Application Data","Data Management,Data Analysis,Database"
"JavaServer Faces","Java,Back-end Web Development,Framework,Library"
"Webdriver","Testing,Automation,Toolings,Front-end Web Development,Back-end Web Development"
"Dask","Python,Data Processing,Parallel Computing,Big Data,Analytics"
"Yahoo! User Interface Library (YUI)","JavaScript,Front-end Web Development,Framework,Library"
"Dynamic HTML","HTML,Front-end Web Development,Scripting"
"Scripting","Programming Language"
"XMLSpy","XML,Toolings,Data Modeling"
"Web Analytics","Data Analysis,SEO,Marketing,Digital Marketing"
"Adobe Flash","Multimedia,Animation,Web Development,Deprecated"
"Visualization","Data Analysis,Data Science,Graphic Design"
"Facebook Ads Api","Digital Marketing,Social Media Marketing,API,Advertising"
"Google AdSense","Digital Marketing,Advertising,Monetization"
"Rich Site Summary (RSS)","Web Feed,XML,Web Syndication"
"Ember.Js","JavaScript,Front-end Web Development,Framework,Library"
"Financial Management","Finance,Budgeting,Forecasting,Financial Analysis,Risk Management"
"SAP Applications","Enterprise Resource Planning,Business Process,Data Management,Software"
"Apache JMeter","Load Testing,Performance Measurement,Software Testing,Java"
"Apache Zookeeper","Back-end Web Development,Distributed Systems,Coordination Service,Performance tuning"
"Logstash","Data Processing,Serverless Computing,Toolings,Back-end Web Development,DevOps,Performance monitoring,Analytics"
"Mule","Enterprise Service Bus,Integration,API,Back-end Web Development,DevOps"
"Eloqua","Marketing Automation,CRM,Toolings,Analytics"
"Pentaho Data Integration","Data Integration,ETL,Business Intelligence,Data modeling,Performance tuning"
"ZFS File System","File System,Storage,Data Management"
"Slurm","Job Scheduler,High-Performance Computing,Resource Management"
"Kernel-Based Virtual Machine","Virtualization,Kernel,Linux,System Administration"
"U-Boot","Bootloader,Embedded Systems,Firmware"
"Unreal Engine","Game Development,3D Modeling,C++,Virtual Reality,Augmented Reality"
"WebGL","JavaScript,Front-end Web Development,3D Graphics,API"
"DirectX (Software)","API,Game Development,3D Graphics,Microsoft"
"NFT","Blockchain,Cryptocurrency,Digital Asset"
"Google Play","Mobile App Development,Android,App Store,Distribution Platform"
"Material Design","UI/UX Design,Google,Front-end Web Development"
"Protractor","JavaScript,Front-end Web Development,Testing,Framework"
"Apex Code","Salesforce,Back-end Web Development,Programming Language"
"Bower","JavaScript,Front-end Web Development,Package Manager,Toolings"
"Bundler","Ruby,Back-end Web Development,Package Manager,Toolings"
"CakePHP","PHP,Back-end Web Development,Framework,MVC"
"Powerapps","Microsoft,Low-code development platform,Application Development,Front-end Web Development"
"Microsoft SharePoint","Microsoft,Content Management System,Collaboration,Document Management,Web Application,Back-end Web Development"
"Multitier Architecture","Software Architecture,Back-end Web Development"
"Gerrit","Version Control System,Code Review,Project Management,Toolings"
"BigQuery","Google,Data Analysis,Data Warehouse,SQL,Cloud Computing,Analytics"
"Large Language Models","Machine Learning,Artificial Intelligence,Natural Language Processing,Data Science"
"Dynatrace","Performance monitoring,DevOps,Cloud Computing,Analytics,APM"
"Chatbots","Artificial Intelligence,Natural Language Processing,Machine Learning,User Interface,Customer Service"
"Vmware","Virtualization,Cloud Computing,Infrastructure,Network,Security"
"OpenStack","Cloud Computing,Infrastructure,Open Source,Virtualization,Network"
"Message Queuing Telemetry Transport (MQTT)","IoT,Protocol,Networking,Data Transfer"
"SailPoint","Identity Management,Security,Compliance,Governance"
"SAP HANA","Database,In-memory Computing,Analytics,Business Intelligence,Data Warehousing"
"Amazon Redshift","Database,Data Warehousing,Cloud Computing,Analytics,Big Data"
"Spring Jdbc","Java,Back-end Web Development,Framework,Library,Database"
"OpenID","Authentication,Security,Single Sign-On,Protocol"
"PuTTY","Network,SSH,Telnet,Remote Access,Toolings"
"Puppet","Configuration Management,DevOps,Infrastructure,Toolings"
